id,name,credit,songid,song,labelid,label
539637,Keith & Kristyn Getty,2924245,2599572,My Worth Is Not In What I Own (At The Cross),77973,"Getty Music, LLC"
62472,Mali Music,2924252,2599579,Love (Remix),164771,Curb | Word Entertainment
1454308,Steven Malcolm,3088297,2599591,Maybe It’s OK (Neon Feather remix),164771,Curb | Word Entertainment
1454308,Steven Malcolm,3088297,2599591,Maybe It’s OK (Neon Feather remix),164770,Curb | Word
