id,name,credit,songid,song,labelid,label
344560,Billy Cox,810570,735730,The Band of Gypsys Return,-1,
169160,Santana,820135,837975,Viva Percussion,39960,Traditional Line
1860,Carlos Santana,826935,140916,Carlos Santana & Buddy Miles! Live!,1556,CBS
1860,Carlos Santana,826935,140916,Carlos Santana & Buddy Miles! Live!,72960,Sony Records International
1860,Carlos Santana,826935,140916,Carlos Santana & Buddy Miles! Live!,235,Columbia
1860,Carlos Santana,826935,140916,Carlos Santana & Buddy Miles! Live!,1556,CBS
1860,Carlos Santana,826935,140916,Carlos Santana & Buddy Miles! Live!,3284,Legacy
1860,Carlos Santana,826935,140916,Carlos Santana & Buddy Miles! Live!,235,Columbia
1860,Carlos Santana,959577,1146536,Carlos Santana and Buddy Miles - Live! / Love Devotion Surrender,1556,CBS
21982,John McLaughlin,959577,1146536,Carlos Santana and Buddy Miles - Live! / Love Devotion Surrender,1556,CBS
3800,Lightnin’ Rod,1432417,517833,Doriella du Fontaine,4307,Restless Records
3800,Lightnin’ Rod,1432417,517833,Doriella du Fontaine,7466,Celluloid
3800,Lightnin’ Rod,1432417,517833,Doriella du Fontaine,7466,Celluloid
3800,Lightnin’ Rod,1432417,517833,Doriella du Fontaine,89600,Douglas
184,Jimi Hendrix,1432417,517833,Doriella du Fontaine,4307,Restless Records
184,Jimi Hendrix,1432417,517833,Doriella du Fontaine,7466,Celluloid
184,Jimi Hendrix,1432417,517833,Doriella du Fontaine,7466,Celluloid
184,Jimi Hendrix,1432417,517833,Doriella du Fontaine,89600,Douglas
313887,Buddy Miles Express,2831860,2503837,Booger Bear / Carlos Santana & Buddy Miles! Live!,172111,Vocalion
1860,Carlos Santana,2831860,2503837,Booger Bear / Carlos Santana & Buddy Miles! Live!,172111,Vocalion
