id,name,credit,songid,song,labelid,label
9716,Richard Strauss,2284424,2036178,Also sprach Zarathustra; Don Quixote,5548,OehmsClassics
276645,Opernhaus- und Museumsorchester Frankfurt,2284424,2036178,Also sprach Zarathustra; Don Quixote,5548,OehmsClassics
490525,Sebastian Weigle,2284424,2036178,Also sprach Zarathustra; Don Quixote,5548,OehmsClassics
