id,name,credit,songid,song,labelid,label
2168923,Markus Kürten,3006790,2684762,Kürten | Pawłowski | Wirkus,22434,Gusstaff Records
373976,Paul Wirkus,3006790,2684762,Kürten | Pawłowski | Wirkus,22434,Gusstaff Records
