id,name,credit,songid,song,labelid,label
21922,Arvo Pärt,968614,35837,Passio,46800,ECM New Series
22839,Jan Garbarek,821874,24919,Mnemosyne,1884,ECM Records
22839,Jan Garbarek,821874,24919,Mnemosyne,1884,ECM Records
22839,Jan Garbarek,821874,24921,Officium,46800,ECM New Series
22839,Jan Garbarek,821874,24921,Officium,46800,ECM New Series
22839,Jan Garbarek,821874,24921,Officium,46800,ECM New Series
22839,Jan Garbarek,821874,24921,Officium,46800,ECM New Series
22839,Jan Garbarek,821874,24921,Officium,1884,ECM Records
22839,Jan Garbarek,821874,24921,Officium,46800,ECM New Series
22839,Jan Garbarek,821874,24921,Officium,46800,ECM New Series
21922,Arvo Pärt,982261,87226,Miserere,46800,ECM New Series
21922,Arvo Pärt,982261,87226,Miserere,46800,ECM New Series
21922,Arvo Pärt,982261,87226,Miserere,46800,ECM New Series
21922,Arvo Pärt,982261,87226,Miserere,46800,ECM New Series
21922,Arvo Pärt,982261,87226,Miserere,46800,ECM New Series
489619,Beethoven Orchester Bonn,982261,87226,Miserere,46800,ECM New Series
489619,Beethoven Orchester Bonn,982261,87226,Miserere,46800,ECM New Series
489619,Beethoven Orchester Bonn,982261,87226,Miserere,46800,ECM New Series
489619,Beethoven Orchester Bonn,982261,87226,Miserere,46800,ECM New Series
489619,Beethoven Orchester Bonn,982261,87226,Miserere,46800,ECM New Series
247670,Dennis Russell Davies,982261,87226,Miserere,46800,ECM New Series
247670,Dennis Russell Davies,982261,87226,Miserere,46800,ECM New Series
247670,Dennis Russell Davies,982261,87226,Miserere,46800,ECM New Series
247670,Dennis Russell Davies,982261,87226,Miserere,46800,ECM New Series
247670,Dennis Russell Davies,982261,87226,Miserere,46800,ECM New Series
2327,Johann Sebastian Bach,972000,445827,Morimur,1884,ECM Records
255793,Christoph Poppen,972000,445827,Morimur,1884,ECM Records
58789,Guillaume Dufay,1077720,493163,Hilliard Live 4: Guillaume Dufay,3230,BBC Records
58789,Guillaume Dufay,1077720,493163,Hilliard Live 4: Guillaume Dufay,7571,Coro
58789,Guillaume Dufay,1077720,586729,"Missa ""L'homme armé"" / Motets",973,EMI Digital
119482,Guillaume de Machaut,1097574,412393,Motets,46800,ECM New Series
119482,Guillaume de Machaut,1097574,554646,Messe de Notre Dame / Le Lai de la Fonteinne / Ma fin est mon commencement,388,Hyperion
168900,Orlande de Lassus,1120880,227365,Lassus,46800,ECM New Series
168900,Orlande de Lassus,1120880,227365,Lassus,46800,ECM New Series
168900,Orlande de Lassus,1120880,1766393,Motets & Chansons,973,EMI Digital
12438,Franz Schubert,1145970,1112960,German Romantic Partsongs,973,EMI Digital
32513,Robert Schumann,1145970,1112960,German Romantic Partsongs,973,EMI Digital
676653,Peter Cornelius,1145970,1112960,German Romantic Partsongs,973,EMI Digital
52652,Max Reger,1145970,1112960,German Romantic Partsongs,973,EMI Digital
9716,Richard Strauss,1145970,1112960,German Romantic Partsongs,973,EMI Digital
22839,Jan Garbarek,1191593,990448,Officium Novum,46800,ECM New Series
22839,Jan Garbarek,1191593,990448,Officium Novum,46800,ECM New Series
22839,Jan Garbarek,1191593,990448,Officium Novum,46800,ECM New Series
22839,Jan Garbarek,1191593,2247801,"Remember Me, My Dear",46800,ECM New Series
22839,Jan Garbarek,1191593,2247801,"Remember Me, My Dear",46800,ECM New Series
22839,Jan Garbarek,1191593,2247801,"Remember Me, My Dear",46800,ECM New Series
22839,Jan Garbarek,1191593,2247801,"Remember Me, My Dear",46800,ECM New Series
133962,Johannes Ockeghem,1257798,1333571,Ockeghem: Missa prolationum / Marian motets,4743,Virgin Veritas
498589,Bernardo Pisano,1272762,1342495,Il cor tristo,46800,ECM New Series
1040982,Roger Marsh,1272762,1342495,Il cor tristo,46800,ECM New Series
150280,Jacques Arcadelt,1272762,1342495,Il cor tristo,46800,ECM New Series
145273,Carlo Gesualdo,1277914,1158170,Quinto Libro di Madrigali,46800,ECM New Series
145273,Carlo Gesualdo,1277914,610629,Tenebrae,46800,ECM New Series
125020,Cristóbal de Morales,1407810,1190586,Missa Mille Regretz,8073,Almaviva
2327,Johann Sebastian Bach,1460161,669515,Motetten,1884,ECM Records
45914,Heinrich Schütz,1548296,686920,Matthäus-Passion,314,EMI Music Argentina
45914,Heinrich Schütz,1548299,686915,Der Schwanengesang (Opus Ultimum),973,EMI Digital
45914,Heinrich Schütz,1548299,686915,Der Schwanengesang (Opus Ultimum),2757,His Master’s Voice
411209,London Baroque,1548299,686915,Der Schwanengesang (Opus Ultimum),973,EMI Digital
411209,London Baroque,1548299,686915,Der Schwanengesang (Opus Ultimum),2757,His Master’s Voice
503662,Heinz Hennig,1548299,686915,Der Schwanengesang (Opus Ultimum),973,EMI Digital
503662,Heinz Hennig,1548299,686915,Der Schwanengesang (Opus Ultimum),2757,His Master’s Voice
218763,Wolfgang Rihm,1643073,1422894,Rihm / Sciarrino / Moody / Metcalf,5548,OehmsClassics
597641,Salvatore Sciarrino,1643073,1422894,Rihm / Sciarrino / Moody / Metcalf,5548,OehmsClassics
278040,Ivan Moody,1643073,1422894,Rihm / Sciarrino / Moody / Metcalf,5548,OehmsClassics
502630,Joanne Metcalf,1643073,1422894,Rihm / Sciarrino / Moody / Metcalf,5548,OehmsClassics
739284,Singer Pur,1643073,1422894,Rihm / Sciarrino / Moody / Metcalf,5548,OehmsClassics
81082,Thomas Tallis,1681693,657444,The Lamentations of Jeremiah,1884,ECM Records
81082,Thomas Tallis,1681693,657444,The Lamentations of Jeremiah,174,BMG
81082,Thomas Tallis,1681693,657444,The Lamentations of Jeremiah,46800,ECM New Series
81082,Thomas Tallis,1681693,657444,The Lamentations of Jeremiah,46800,ECM New Series
402901,Paul Hillier,1683717,605322,"Missa Hercules Dux Ferrariae, etc.",417,EMI Classics
402901,Paul Hillier,1683717,2117324,Music from the time of Christian IV – Church Music at Court & in Town,3598,BIS
12435,William Byrd,1683753,186017,"Masses for 3, 4 & 5 voices / Ave verum",417,EMI Classics
97601,Josquin des Prez,1760810,1981882,Missa Hercules Dux Ferrariae - Miserere mei Deus - Pater noster - Tu solus qui facis mirabilia,973,EMI Digital
97601,Josquin des Prez,1760810,1981882,Missa Hercules Dux Ferrariae - Miserere mei Deus - Pater noster - Tu solus qui facis mirabilia,62793,EMI
2327,Johann Sebastian Bach,1951355,1768392,Ricercar,46800,ECM New Series
2327,Johann Sebastian Bach,1951355,1768392,Ricercar,46800,ECM New Series
48153,Anton Webern,1951355,1768392,Ricercar,46800,ECM New Series
48153,Anton Webern,1951355,1768392,Ricercar,46800,ECM New Series
255793,Christoph Poppen,1951355,1768392,Ricercar,46800,ECM New Series
255793,Christoph Poppen,1951355,1768392,Ricercar,46800,ECM New Series
489577,Münchener Kammerorchester,1951355,1768392,Ricercar,46800,ECM New Series
489577,Münchener Kammerorchester,1951355,1768392,Ricercar,46800,ECM New Series
284520,Heinz Holliger,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
284520,Heinz Holliger,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
284520,Heinz Holliger,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
284520,Heinz Holliger,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
119482,Guillaume de Machaut,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
119482,Guillaume de Machaut,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
119482,Guillaume de Machaut,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
119482,Guillaume de Machaut,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
1380681,Geneviève Strosser,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
1380681,Geneviève Strosser,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
1380681,Geneviève Strosser,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
1380681,Geneviève Strosser,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
1069234,Jürg Dähler,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
1069234,Jürg Dähler,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
1069234,Jürg Dähler,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
1069234,Jürg Dähler,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
528727,Muriel Cantoreggi,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
528727,Muriel Cantoreggi,1979146,1789208,Machaut-Transkriptionen,46800,ECM New Series
528727,Muriel Cantoreggi,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
528727,Muriel Cantoreggi,1979146,1789208,Machaut-Transkriptionen,1884,ECM Records
69880,გია ყანჩელი,1980446,280910,Abii ne viderem,46800,ECM New Series
258300,Kim Kashkashian,1980446,280910,Abii ne viderem,46800,ECM New Series
247670,Dennis Russell Davies,1980446,280910,Abii ne viderem,46800,ECM New Series
360506,Stuttgarter Kammerorchester,1980446,280910,Abii ne viderem,46800,ECM New Series
34465,Gavin Bryars,2143866,130140,Cadman Requiem,768,Point Music
208789,Fretwork,2143866,130140,Cadman Requiem,768,Point Music
12435,William Byrd,2145277,1311072,Songs of Sundrie Natures,973,EMI Digital
411209,London Baroque,2145277,1311072,Songs of Sundrie Natures,973,EMI Digital
23876,John Dowland,2152691,1918897,Ayres,973,EMI Digital
97601,Josquin des Prez,2111806,1888031,Missa Hercules Dux Ferrariae. Motets,1225,Erato
97601,Josquin des Prez,2111806,1888031,Missa Hercules Dux Ferrariae. Motets,4743,Virgin Veritas
228011,John Dunstable,2156902,587082,Motets,4057,Virgin Classics
228011,John Dunstable,2156902,587082,Motets,62793,EMI
279590,Walter Frye,2167181,993994,Walter Frye,46800,ECM New Series
168900,Orlande de Lassus,2235181,1987467,Bußpsalmen,973,EMI Digital
1677389,Kees Boeke Consort,2235181,1987467,Bußpsalmen,973,EMI Digital
11285,Wolfgang Amadeus Mozart,2240595,1992747,Vespers / Ave verum corpus,417,EMI Classics
442254,Lynne Dawson,2240595,1992747,Vespers / Ave verum corpus,417,EMI Classics
413789,David James,2240595,1992747,Vespers / Ave verum corpus,417,EMI Classics
413790,Rogers Covey‐Crump,2240595,1992747,Vespers / Ave verum corpus,417,EMI Classics
402901,Paul Hillier,2240595,1992747,Vespers / Ave verum corpus,417,EMI Classics
120067,"Choir of King’s College, Cambridge",2240595,1992747,Vespers / Ave verum corpus,417,EMI Classics
420298,Cambridge Classical Players,2240595,1992747,Vespers / Ave verum corpus,417,EMI Classics
391616,Stephen Cleobury,2240595,1992747,Vespers / Ave verum corpus,417,EMI Classics
273514,Thomas Ravenscroft,2274847,873333,The Singing Club,377,Harmonia Mundi
273514,Thomas Ravenscroft,2274847,873333,The Singing Club,377,Harmonia Mundi
273514,Thomas Ravenscroft,2274847,873333,The Singing Club,377,Harmonia Mundi
364624,William Lawes,2274847,873333,The Singing Club,377,Harmonia Mundi
364624,William Lawes,2274847,873333,The Singing Club,377,Harmonia Mundi
364624,William Lawes,2274847,873333,The Singing Club,377,Harmonia Mundi
87893,Henry Purcell,2274847,873333,The Singing Club,377,Harmonia Mundi
87893,Henry Purcell,2274847,873333,The Singing Club,377,Harmonia Mundi
87893,Henry Purcell,2274847,873333,The Singing Club,377,Harmonia Mundi
124232,Thomas Arne,2274847,873333,The Singing Club,377,Harmonia Mundi
124232,Thomas Arne,2274847,873333,The Singing Club,377,Harmonia Mundi
124232,Thomas Arne,2274847,873333,The Singing Club,377,Harmonia Mundi
402901,Paul Hillier,2274847,873333,The Singing Club,377,Harmonia Mundi
402901,Paul Hillier,2274847,873333,The Singing Club,377,Harmonia Mundi
402901,Paul Hillier,2274847,873333,The Singing Club,377,Harmonia Mundi
104251,Cipriano de Rore,2287049,2038622,Le Vergine,377,Harmonia Mundi
165416,Pierre de la Rue,2287186,2038739,Missa Cum iocunditate / Motets,4057,Virgin Classics
165416,Pierre de la Rue,2287186,2038739,Missa Cum iocunditate / Motets,417,EMI Classics
