id,name,credit,songid,song,labelid,label
862587,Pedro Memelsdorff,1478057,536896,Missa Cantilena,1225,Erato
862587,Pedro Memelsdorff,1478057,2547023,"Vertù contra furore - Musical languages in late medieval Italy, 1380-1420",5976,Arcana
862587,Pedro Memelsdorff,1478057,2547023,"Vertù contra furore - Musical languages in late medieval Italy, 1380-1420",197748,Outhere
688627,Paolo da Firenze,1565880,1588533,Narcisso Speculando,377,Harmonia Mundi
381568,Johannes Ciconia,1565882,1588536,Sidus Preclarum - Complete Motets,1225,Erato
334725,Matteo da Perugia,2373227,2115232,Hélas Avril - Chansons,1225,Erato
