id,name,credit,songid,song,labelid,label
825406,Romeo Santos,3088800,2758722,Tú vas a tener que explicarme (remix),42595,Sony Music | Latin
422835,ChocQuibTown,3114570,2782114,Morena,42595,Sony Music | Latin
1580276,Lil Silvio & El Vega,3114570,2782114,Morena,42595,Sony Music | Latin
