id,name,credit,songid,song,labelid,label
41488,Boris,2436835,2175477,EarthQuaker Devices Presents: Boris | Relaxer | Crypt City | Lisa Bella Donna,176411,EarthQuaker Devices
1572868,Relaxer,2436835,2175477,EarthQuaker Devices Presents: Boris | Relaxer | Crypt City | Lisa Bella Donna,176411,EarthQuaker Devices
1710771,CRYPT CITY,2436835,2175477,EarthQuaker Devices Presents: Boris | Relaxer | Crypt City | Lisa Bella Donna,176411,EarthQuaker Devices
