id,name,credit,songid,song,labelid,label
16563,Kurt Weill,1153320,1259228,Sinfonien/Symphonies No. 1 & No. 2,188359,Koch Schwann Musica mundi
476927,Roland Bader,1153320,1259228,Sinfonien/Symphonies No. 1 & No. 2,188359,Koch Schwann Musica mundi
216128,Grażyna Bacewicz,1569397,703331,Symphony no. 3 / Concerto for String Orchestra,21198,KOCH Schwann
476927,Roland Bader,1569397,703331,Symphony no. 3 / Concerto for String Orchestra,21198,KOCH Schwann
20000,Carl Orff,1572907,79137,Carmina Burana,152353,Pilz UK Ltd
11317,Krzysztof Penderecki,1572907,79137,Carmina Burana,152353,Pilz UK Ltd
47938,Franz von Suppé,1573147,1269786,Requiem,21198,KOCH Schwann
476927,Roland Bader,1573147,1269786,Requiem,21198,KOCH Schwann
129846,Richard Wetz,1827960,1740895,Symphony No. 1,1477,Classic Produktion Osnabrück
476927,Roland Bader,1827960,1740895,Symphony No. 1,1477,Classic Produktion Osnabrück
68717,Henryk Mikołaj Górecki,1862168,202243,Symphony no. 3,417,EMI Classics
68717,Henryk Mikołaj Górecki,1862168,202243,Symphony no. 3,-1,
68717,Henryk Mikołaj Górecki,1862168,202243,Symphony no. 3,417,EMI Classics
546134,Zofia Kilanowicz,1862168,202243,Symphony no. 3,417,EMI Classics
546134,Zofia Kilanowicz,1862168,202243,Symphony no. 3,-1,
546134,Zofia Kilanowicz,1862168,202243,Symphony no. 3,417,EMI Classics
294319,Jacek Kaspszyk,1862168,202243,Symphony no. 3,417,EMI Classics
294319,Jacek Kaspszyk,1862168,202243,Symphony no. 3,-1,
294319,Jacek Kaspszyk,1862168,202243,Symphony no. 3,417,EMI Classics
68717,Henryk Mikołaj Górecki,2249533,1138843,Symfonia no. 1 „1959“ / Choros I / Three Pieces in the Old Style,21198,KOCH Schwann
476927,Roland Bader,2249533,1138843,Symfonia no. 1 „1959“ / Choros I / Three Pieces in the Old Style,21198,KOCH Schwann
