id,name,isdone,spotifyid
762201,Kendrick Lamar,True,2YZyLoL8N0Wb9xBt1NhZWg
422058,Beyoncé,True,6vWDO969PvNqNYHIOW5v0m
240486,Chris Brown,True,7bXgB6jMjp9ATFy66eO08Z
800841,Future,True,1RyvyyTE3xzB2ZywiAwp0i
754656,One Direction,True,4AK6F7OLvEQ5QYCBNiQWHq
100154,Sia,True,5WUlDfRSoLAfcVSX1WnrxN
624088,Nicki Minaj,True,0hCNtLu0JehylgoiP8L4Gh
531923,Lady Gaga,True,1HY2Jd0NmPuamShAr6KMms
1197096,Halsey,True,26VFTg2z8YR0cCuwLzESi2
527517,Selena Gomez,True,0C8ZW7ezQVs4URX5aX7Kqx
650607,J. Cole,True,6l3HvQ5sa6mXTsMTB19rO5
1486832,Anuel AA,True,2R21vXR83lH98kGeO99Y66
303,The Beatles,True,3WrFJ7ztbogyGnTHbHJFl2
839065,twenty one pilots,True,3YQKmKGau1PzlVlkL1iodx
1053251,Maluma,True,1r4hJ1h58CWwUQe3MxPuau
1084840,Kygo,True,23fqKkggKUBHNkbKtXEls4
807928,Marshmello,True,64KEffDW9EtZ1y2vBYgq8T
610590,Avicii,True,1vCWHaC5f2uS3yhpwWbIA6
11330,Linkin Park,True,6XyY86QOPPrYVGvF9ch6wz
1241266,Lil Uzi Vert,True,4O15NlyKLIASxsJ0PrXPfz
315753,Katy Perry,True,6jJ0s89eD6GaHleKKya26X
939035,Camila Cabello,True,4nDoRrQiYLoBzwC5BhVJzF
497084,Adele,True,4dpARuHxo51G3z768sgnrY
828613,Lana Del Rey,True,00FQb4jTyendYWaN8pK0wa
641496,Jason Derulo,True,07YZf4WDAMNwqr4jfgOZ8y
813933,Farruko,True,329e4yvIujISKGKz1BZZbO
527516,Demi Lovato,True,6S2OmqARrzebs0tKUEyXyp
12389,Red Hot Chili Peppers,True,0L8ExT028jH3ddEcZwqJJ5
148108,Nicky Jam,True,1SupJlEpv7RS2tPNRaHViT
1332,Shakira,True,0EmeFodog0BfCgMzAIvKQp
255826,Arctic Monkeys,True,7Ln80lUS6He07XvHI8qqHH
997729,Martin Garrix,True,60d24wfXkVzDSfLS6hyCjZ
867864,G‐Eazy,True,02kJSzxNuaWGqwubyUba0Z
623730,Major Lazer,True,738wLrAtLtCtFOLvQBXOXp
243617,Panic! at the Disco,True,20JZFwl6HVl6yg8a4H3ZqK
359330,Miley Cyrus,True,5YGY8feqx7naU7z4HrwZM6
410667,OneRepublic,True,5Pwc4xIPtQLFEnJriah9YJ
519,Michael Jackson,True,3fMbdgg4jU18AjLCKBhRSm
137803,Pitbull,True,0TnOYISbd1XYRBk9myaseg
656090,Ellie Goulding,True,0X2BH1fck6amBIoJhDVmmJ
1342385,Cardi B,True,4kYSro6naA4h99UJvo89HB
1080570,Charlie Puth,True,6VuMaDnrHyPL1p4EHjYLi7
754692,Harry Styles,True,6KImCVD70vtIoJWnq6nGn3
1290934,Sebastián Yatra,True,07YUOmWljBTXwIseAUd9TW
463597,Wiz Khalifa,True,137W8MRPWKqSmrBGDBFSop
1738027,Rauw Alejandro,True,1mcTU81TzQhprhouKaTkpq
57186,Lil Wayne,True,55Aa2cqylxrFIXC767Z865
1493482,KAROL G,True,790FomKkXshlbRYZFtlgla
1513023,DaBaby,True,4r63FhuTkUYltbVAg5TQnk
942935,Logic,True,4xRYI6VqpkE3UwrDrAZL8L
112461,Fall Out Boy,True,4UXqAaa6dQYAk18Lv7PEgX
1026090,Migos,True,6oMuImdp5ZcFhWP0ESe6mG
998368,Young Thug,True,50co4Is1HCEo8bhOyUWKpn
153653,Diplo,True,5fMUXHkw8R8eOP2RNVYEZX
531656,Tyga,True,5LHRHt1k9lMyONurDHEdrp
1277206,21 Savage,True,1URnnhqYAYcrqrcwql10ft
1313031,Alan Walker,True,7vk5e3vY1uw9plTHJAMwjN
33563,John Mayer,True,0hEurMDQu99nJRq8pTxO14
1557563,Sech,True,77ziqFxp5gaInVrF2lj4ht
93,Metallica,True,2ye2Wgw4gimLv2eAKyk1NB
1554753,Lil Baby,True,5f7VJjfbwm532GiveGC0ZK
309011,Macklemore,True,3JhNCzhSMTxs9WLGJJxWOY
754693,ZAYN,True,5ZsFI1h6hIdQRw2ti0hz81
9751,P!nk,True,1KCSPY1glIKqW2TotWuXOR
923140,DJ Snake,True,540vIaP2JwjQb9dm3aArA4
768034,Zedd,True,2qxJFvFYMEDqd7ui6kSAcq
1358998,Lauv,True,5JZ7CnR6gTvEMKX4g70Amv
765110,Mac Miller,True,4LLpKhyESsyAXpc4laK94U
933991,James Arthur,True,4IWBUUAFIplrNtaOHcJPRM
838181,Little Mix,True,3e7awlrlDSwF3iM0WBjGMp
1852738,Pop Smoke,True,0eDvMgVFoNV3TpwtrVCoTj
1352,ACDC,True,711MCceyCBcFnzjGY4Q7Un
1372423,Lil Peep,True,2kCcBybjl3SAtIcwdWpUe3
1669618,Myke Towers,True,7iK8PXO48WeuP03g8YR51W
1088096,Robin Schulz,True,3t5xRXzsuZmMDkQzgOX35S
981199,5 Seconds of Summer,True,5Rl15oVamLq7FbSb0NNBNy
838288,A$AP Rocky,True,13ubrt8QOOCPljQ2FL1Kca
1287085,Kodak Black,True,46SHBwWsqBkxI7EeeBEQG7
1404376,A Boogie Wit da Hoodie,True,31W5EY0aAly4Qieq6OFu6I
1180526,Doja Cat,True,5cj0lLjcoR7YOSnhnX0Po5
1489322,Trippie Redd,True,6Xgp2XMz1fhVYe7i6yNAax
55795,Justin Timberlake,True,31TPClRtHm23RisEBtV3X7
518244,NF,True,6fOMl44jA4Sp5b9PpYCkzz
825406,Romeo Santos,True,5lwmRuXgjX8xIwlnauTZIP
