id,name,isdone,spotifyid,genres,popularity,followers
1241266,Lil Uzi Vert,True,4O15NlyKLIASxsJ0PrXPfz,"['melodic rap', 'philly rap', 'rap', 'trap']",90.0,12933792.0
315753,Katy Perry,True,6jJ0s89eD6GaHleKKya26X,"['dance pop', 'pop', 'post-teen pop']",88.0,20758313.0
939035,Camila Cabello,True,4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop', 'post-teen pop']",84.0,25639043.0
497084,Adele,True,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']",92.0,34838727.0
828613,Lana Del Rey,True,00FQb4jTyendYWaN8pK0wa,"['art pop', 'pop']",88.0,15487248.0
641496,Jason Derulo,True,07YZf4WDAMNwqr4jfgOZ8y,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",85.0,10823486.0
813933,Farruko,True,329e4yvIujISKGKz1BZZbO,"['latin', 'reggaeton', 'trap latino']",90.0,12343965.0
527516,Demi Lovato,True,6S2OmqARrzebs0tKUEyXyp,"['dance pop', 'pop', 'post-teen pop']",84.0,21736656.0
12389,Red Hot Chili Peppers,True,0L8ExT028jH3ddEcZwqJJ5,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",86.0,17618814.0
148108,Nicky Jam,True,1SupJlEpv7RS2tPNRaHViT,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",87.0,16383011.0
1332,Shakira,True,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",85.0,23206144.0
255826,Arctic Monkeys,True,7Ln80lUS6He07XvHI8qqHH,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",87.0,13873431.0
997729,Martin Garrix,True,60d24wfXkVzDSfLS6hyCjZ,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",81.0,15414792.0
867864,G‐Eazy,True,02kJSzxNuaWGqwubyUba0Z,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",81.0,5024697.0
623730,Major Lazer,True,738wLrAtLtCtFOLvQBXOXp,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",79.0,6266143.0
243617,Panic! at the Disco,True,20JZFwl6HVl6yg8a4H3ZqK,"['modern rock', 'rock']",82.0,11196852.0
359330,Miley Cyrus,True,5YGY8feqx7naU7z4HrwZM6,"['dance pop', 'pop', 'post-teen pop']",86.0,17473994.0
410667,OneRepublic,True,5Pwc4xIPtQLFEnJriah9YJ,"['dance pop', 'piano rock', 'pop', 'pop rock']",86.0,13243557.0
519,Michael Jackson,True,3fMbdgg4jU18AjLCKBhRSm,"['pop', 'r&b', 'soul']",85.0,21887671.0
137803,Pitbull,True,0TnOYISbd1XYRBk9myaseg,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",86.0,9122859.0
656090,Ellie Goulding,True,0X2BH1fck6amBIoJhDVmmJ,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",81.0,10537998.0
1342385,Cardi B,True,4kYSro6naA4h99UJvo89HB,"['dance pop', 'pop', 'pop rap', 'rap']",85.0,19326840.0
1080570,Charlie Puth,True,6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']",85.0,15397312.0
754692,Harry Styles,True,6KImCVD70vtIoJWnq6nGn3,['pop'],87.0,19178305.0
1290934,Sebastián Yatra,True,07YUOmWljBTXwIseAUd9TW,"['colombian pop', 'latin', 'reggaeton colombiano']",88.0,18378874.0
463597,Wiz Khalifa,True,137W8MRPWKqSmrBGDBFSop,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",87.0,10429633.0
1738027,Rauw Alejandro,True,1mcTU81TzQhprhouKaTkpq,"['puerto rican pop', 'trap latino']",94.0,9797965.0
57186,Lil Wayne,True,55Aa2cqylxrFIXC767Z865,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",90.0,11663143.0
1493482,KAROL G,True,790FomKkXshlbRYZFtlgla,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",90.0,22381898.0
1513023,DaBaby,True,4r63FhuTkUYltbVAg5TQnk,"['north carolina hip hop', 'rap', 'trap']",89.0,9192965.0
942935,Logic,True,4xRYI6VqpkE3UwrDrAZL8L,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",82.0,5643607.0
112461,Fall Out Boy,True,4UXqAaa6dQYAk18Lv7PEgX,"['emo', 'modern rock', 'rock']",82.0,9335112.0
1026090,Migos,True,6oMuImdp5ZcFhWP0ESe6mG,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",82.0,12165800.0
998368,Young Thug,True,50co4Is1HCEo8bhOyUWKpn,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",90.0,7012456.0
153653,Diplo,True,5fMUXHkw8R8eOP2RNVYEZX,"['dance pop', 'edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",83.0,2448514.0
531656,Tyga,True,5LHRHt1k9lMyONurDHEdrp,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",85.0,6492128.0
1277206,21 Savage,True,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'rap', 'trap']",89.0,10851038.0
1313031,Alan Walker,True,7vk5e3vY1uw9plTHJAMwjN,['electro house'],85.0,32895607.0
33563,John Mayer,True,0hEurMDQu99nJRq8pTxO14,"['neo mellow', 'pop rock', 'singer-songwriter']",82.0,5431503.0
1557563,Sech,True,77ziqFxp5gaInVrF2lj4ht,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",88.0,10249836.0
93,Metallica,True,2ye2Wgw4gimLv2eAKyk1NB,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84.0,20537462.0
1554753,Lil Baby,True,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'atl trap', 'rap', 'trap']",93.0,9740427.0
309011,Macklemore,True,3JhNCzhSMTxs9WLGJJxWOY,"['pop rap', 'seattle hip hop']",80.0,1835980.0
754693,ZAYN,True,5ZsFI1h6hIdQRw2ti0hz81,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",81.0,19085882.0
9751,P!nk,True,1KCSPY1glIKqW2TotWuXOR,"['dance pop', 'pop', 'post-teen pop']",84.0,12719899.0
923140,DJ Snake,True,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",82.0,7697673.0
768034,Zedd,True,2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",80.0,5692180.0
1358998,Lauv,True,5JZ7CnR6gTvEMKX4g70Amv,"['dance pop', 'electropop', 'pop']",82.0,4863326.0
765110,Mac Miller,True,4LLpKhyESsyAXpc4laK94U,"['hip hop', 'pittsburgh rap', 'rap']",88.0,7104991.0
933991,James Arthur,True,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']",83.0,9408474.0
838181,Little Mix,True,3e7awlrlDSwF3iM0WBjGMp,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",83.0,10092701.0
1852738,Pop Smoke,True,0eDvMgVFoNV3TpwtrVCoTj,['brooklyn drill'],88.0,9378116.0
1352,ACDC,True,711MCceyCBcFnzjGY4Q7Un,"['australian rock', 'hard rock', 'rock']",84.0,22469599.0
1372423,Lil Peep,True,2kCcBybjl3SAtIcwdWpUe3,"['emo rap', 'lgbtq+ hip hop']",87.0,8733049.0
1669618,Myke Towers,True,7iK8PXO48WeuP03g8YR51W,"['reggaeton', 'trap latino']",90.0,8093701.0
1088096,Robin Schulz,True,3t5xRXzsuZmMDkQzgOX35S,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",82.0,2890006.0
981199,5 Seconds of Summer,True,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']",82.0,8315064.0
838288,A$AP Rocky,True,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'rap', 'trap']",87.0,10727382.0
1287085,Kodak Black,True,46SHBwWsqBkxI7EeeBEQG7,"['florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap']",87.0,7841296.0
1404376,A Boogie Wit da Hoodie,True,31W5EY0aAly4Qieq6OFu6I,"['melodic rap', 'rap', 'trap']",86.0,6314899.0
1180526,Doja Cat,True,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']",94.0,16141556.0
1489322,Trippie Redd,True,6Xgp2XMz1fhVYe7i6yNAax,"['melodic rap', 'rap', 'trap']",88.0,7289295.0
55795,Justin Timberlake,True,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",83.0,11751691.0
518244,NF,True,6fOMl44jA4Sp5b9PpYCkzz,"['hip hop', 'pop rap', 'rap']",84.0,6723723.0
825406,Romeo Santos,True,5lwmRuXgjX8xIwlnauTZIP,"['bachata', 'latin']",84.0,14317721.0
966690,Metro Boomin,True,0iEtIxbK0KxaSlF7G42ZOp,"['hip hop', 'rap', 'southern hip hop', 'trap']",83.0,2856664.0
353670,DJ Khaled,True,0QHgL1lAIqAw0HtD7YldmP,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",81.0,7191369.0
871338,Clean Bandit,True,6MDME20pz9RveH9rEXvrOM,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",80.0,4688942.0
964089,Zara Larsson,True,1Xylc3o4UrD53lo9CvFvVg,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",79.0,9783476.0
796562,Frank Ocean,True,2h93pZq0e7k5yf4dywlkpM,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",87.0,9025133.0
510,Green Day,True,7oPftvlwr6VrsViSDV7fJY,"['permanent wave', 'punk']",83.0,13077281.0
232732,Bob Marley & The Wailers,True,2QsynagSdAqZj3U9HgDzjD,"['reggae', 'roots reggae']",81.0,10369942.0
959374,Bebe Rexha,True,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop']",82.0,7089859.0
3113,Enrique Iglesias,True,7qG3b048QCHVRO5Pv1T5lw,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",80.0,10617959.0
191988,Tiësto,True,2o5jDhtHVPhrJdv3cEQ99Z,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",87.0,6222544.0
1489317,Lewis Capaldi,True,4GNC7GD6oZMSxPGyXy4MNB,"['pop', 'uk pop']",82.0,9278737.0
191,Pink Floyd,True,0k17h0D3J5VfsdmQ1iZtE9,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",82.0,16481858.0
1116073,blackbear,True,2cFrymmkijnjDg9SS92EPM,"['electropop', 'pop', 'pop rap']",85.0,4595054.0
1239664,Gunna,True,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",92.0,4025944.0
53808,Luis Fonsi,True,4V8Sr092TqfHkfAA5fXXqG,"['latin', 'latin pop', 'puerto rican pop']",80.0,10085605.0
10910,Black Eyed Peas,True,1yxSLGMDHlW21z4YXirZDS,"['dance pop', 'pop', 'pop rap']",83.0,6469777.0
459158,Flo Rida,True,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",82.0,8436431.0
1258878,Ty Dolla $ign,True,2hED6gNVoqGvmmX8i5dRoj,[],35.0,437.0
825,The Rolling Stones,True,22bE4uQ6baNwSHPVcDxLCe,"['british invasion', 'classic rock', 'rock']",81.0,11428332.0
54,Nirvana,True,6olE6TJLqED3rqDCT0FyPh,"['alternative rock', 'grunge', 'permanent wave', 'rock']",84.0,14693723.0
236,Elton John,True,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']",88.0,8837538.0
77944,Michael Bublé,True,1GxkXlMwML1oSg5eLPiAz3,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",79.0,5054594.0
167,JAY‐Z,True,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'hip hop', 'rap']",87.0,7059668.0
1480487,YoungBoy Never Broke Again,True,7wlFDEWiM5OoIAt8RSli8b,"['baton rouge rap', 'trap']",88.0,8345407.0
1798194,Lil Nas X,True,7jVv8c5Fj3E9VhNjxT4snq,"['lgbtq+ hip hop', 'pop']",90.0,9691192.0
1317190,Jonas Blue,True,1HBjj22wzbscIZ9sEb5dyf,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",79.0,3486375.0
1396704,BLACKPINK,True,41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",84.0,28521061.0
767971,"Tyler, the Creator",True,4V8LLVI7PbaPR0K2TGSxFF,"['hip hop', 'rap']",89.0,8091224.0
1014605,Russ,True,1z7b1Pr1rSlvWRzsW3HOrS,"['hawaiian hip hop', 'rap']",81.0,4282364.0
1440,Guns N’ Roses,True,3qm84nBOXUEQ2vnTfUTTFC,"['glam metal', 'hard rock', 'rock']",82.0,23648789.0
299,Fleetwood Mac,True,08GQAI4eElDnROBrJRGE0X,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",83.0,7917837.0
812889,Bastille,True,7EQ0qTo7fWT7DPxmxtSYEc,"['metropopolis', 'modern rock', 'pop', 'pop rock']",80.0,4968972.0
791,Britney Spears,True,26dSoYclwsYLMAKD3tpOr4,"['dance pop', 'pop', 'post-teen pop']",84.0,10511123.0
830986,Machine Gun Kelly,True,6TIYQ3jFPwQSRmorSezPxX,"['ohio hip hop', 'pop rap']",86.0,4384103.0
