id,name,credit,songid,song,labelid,label
1021,Ludwig van Beethoven,976689,387449,"Piano Sonatas ""Waldstein"" / ""Appassionata"" / ""Les Adieux""",743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,387449,"Piano Sonatas ""Waldstein"" / ""Appassionata"" / ""Les Adieux""",743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,740190,Klaviersonaten: Nr. 8 »Pathétique« / Nr. 14 »Mondschein-Sonate« / Nr. 15 »Pastorale« / Nr 24.,743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,1139050,A Beethoven Piano Weekend,743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,1381875,Die Klaviersonaten: Aufnahmen 1951 -1956,743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,1381875,Die Klaviersonaten: Aufnahmen 1951 -1956,743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,1764081,"Pathétique Sonata: Piano Sonata no. 8, C minor, opus 13",131981,Deutsche Grammophon Gesellschaft
1021,Ludwig van Beethoven,976689,73346,Sonaten No. 8 »Pathétique« / No. 14 »Mondschein« / No. 21 »Waldstein« / No. 23 »Appassionata«,743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,1840419,Mondschein-Sonate / Sonate Pathétique,743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,2037755,Piano Sonatas “Hammerklavier” “The Tempest”,743,Deutsche Grammophon
1021,Ludwig van Beethoven,976689,2559772,Les grandes sonates pour Piano,743,Deutsche Grammophon
1021,Ludwig van Beethoven,985083,1161960,"Sonatas No. 5 ""Spring"" & No. 9 ""Kreutzer Sonata""",743,Deutsche Grammophon
1021,Ludwig van Beethoven,985083,1703459,Violinsonaten no. 5 »Frühlings‐Sonate« & no. 9 »Kreutzer‐Sonate«,743,Deutsche Grammophon
186223,Yehudi Menuhin,985083,1161960,"Sonatas No. 5 ""Spring"" & No. 9 ""Kreutzer Sonata""",743,Deutsche Grammophon
186223,Yehudi Menuhin,985083,1703459,Violinsonaten no. 5 »Frühlings‐Sonate« & no. 9 »Kreutzer‐Sonate«,743,Deutsche Grammophon
32513,Robert Schumann,1166851,1254207,Piano Works,743,Deutsche Grammophon
32513,Robert Schumann,1166851,768403,Kinderszenen / Waldszenen / Papillons / 3 Romanzen,743,Deutsche Grammophon
32513,Robert Schumann,1166851,1048679,Fantasie C-dur / Kreisleriana,743,Deutsche Grammophon
12181,Johannes Brahms,1158024,1530551,Brahms: Piano Sonata No. 3 in F Minor / Schumann: Papillons / Fantasie in C,5456,BBC Legends
12181,Johannes Brahms,1158024,1065038,"Great Pianists of the 20th Century, Volume 55: Wilhelm Kempff I",1519,Philips Classics
32513,Robert Schumann,1158024,1530551,Brahms: Piano Sonata No. 3 in F Minor / Schumann: Papillons / Fantasie in C,5456,BBC Legends
32513,Robert Schumann,1158024,1065038,"Great Pianists of the 20th Century, Volume 55: Wilhelm Kempff I",1519,Philips Classics
12181,Johannes Brahms,1484691,1530511,Brahms: 4 Ballades / Intermezzos / Schumann: Piano Sonata no. 2 / Schubert: Piano Sonata D. 566 / Impromptu D. 935 no. 2,5456,BBC Legends
32513,Robert Schumann,1484691,1530511,Brahms: 4 Ballades / Intermezzos / Schumann: Piano Sonata no. 2 / Schubert: Piano Sonata D. 566 / Impromptu D. 935 no. 2,5456,BBC Legends
12438,Franz Schubert,1484691,1530511,Brahms: 4 Ballades / Intermezzos / Schumann: Piano Sonata no. 2 / Schubert: Piano Sonata D. 566 / Impromptu D. 935 no. 2,5456,BBC Legends
12181,Johannes Brahms,1097475,916867,Klavierkonzert Nr. 2 / 6 Klavierstücke op. 118,743,Deutsche Grammophon
12181,Johannes Brahms,1097475,916867,Klavierkonzert Nr. 2 / 6 Klavierstücke op. 118,66963,Deutsche Grammophon Resonance
12181,Johannes Brahms,1097475,916867,Klavierkonzert Nr. 2 / 6 Klavierstücke op. 118,743,Deutsche Grammophon
12181,Johannes Brahms,1097475,916867,Klavierkonzert Nr. 2 / 6 Klavierstücke op. 118,66963,Deutsche Grammophon Resonance
12181,Johannes Brahms,1097475,916867,Klavierkonzert Nr. 2 / 6 Klavierstücke op. 118,743,Deutsche Grammophon
12181,Johannes Brahms,1097475,916867,Klavierkonzert Nr. 2 / 6 Klavierstücke op. 118,130279,Deutsche Grammophon Panorama Classique
424940,Anda Géza,1097475,916867,Klavierkonzert Nr. 2 / 6 Klavierstücke op. 118,743,Deutsche Grammophon
424940,Anda Géza,1097475,916867,Klavierkonzert Nr. 2 / 6 Klavierstücke op. 118,66963,Deutsche Grammophon Resonance
