id,name,credit,songid,song,labelid,label
9430,Hariprasad Chaurasia,870593,1103028,Raga Darbari Kanada / Dhun in Raga Mishra Pilu,4065,Nimbus Records
9430,Hariprasad Chaurasia,870593,1103028,Raga Darbari Kanada / Dhun in Raga Mishra Pilu,4065,Nimbus Records
9430,Hariprasad Chaurasia,870593,1103028,Raga Darbari Kanada / Dhun in Raga Mishra Pilu,136662,Wyastone Estate Limited
9430,Hariprasad Chaurasia,1513424,1551040,Rāg Bhimpalāsi,4065,Nimbus Records
410186,Alla Rakha,1597903,241864,A Gift To Ustad Alla Rakha 75th Birthday,14891,T-Series
410186,Alla Rakha,1597903,241864,A Gift To Ustad Alla Rakha 75th Birthday,-1,
3823,Zakir Hussain,1597903,241864,A Gift To Ustad Alla Rakha 75th Birthday,14891,T-Series
3823,Zakir Hussain,1597903,241864,A Gift To Ustad Alla Rakha 75th Birthday,-1,
