id,name,credit,songid,song,labelid,label
24465,Antonio Vivaldi,2548996,2265799,Vivaldi: Le quattro stagioni / Rossini: Sonata no. 2 for Strings,119427,Selene Records
34106,Gioachino Rossini,2548996,2265799,Vivaldi: Le quattro stagioni / Rossini: Sonata no. 2 for Strings,119427,Selene Records
46945,Jacques Loussier,2576915,2038892,Concerto No. 1 for Violin and Percussion; Concerto No. 2 for Violin and Tabla; Sonata for Violin and Piano,-1,
155643,Ignacy Jan Paderewski,2576915,2038892,Concerto No. 1 for Violin and Percussion; Concerto No. 2 for Violin and Tabla; Sonata for Violin and Piano,-1,
1717638,Piotr Iwicki,2576915,2038892,Concerto No. 1 for Violin and Percussion; Concerto No. 2 for Violin and Tabla; Sonata for Violin and Piano,-1,
1717639,Gunther Hauer,2576915,2038892,Concerto No. 1 for Violin and Percussion; Concerto No. 2 for Violin and Tabla; Sonata for Violin and Piano,-1,
953051,Polska Filharmonia Kameralna,2576915,2038892,Concerto No. 1 for Violin and Percussion; Concerto No. 2 for Violin and Tabla; Sonata for Violin and Piano,-1,
