id,name,credit,songid,song,labelid,label
1661014,Cappella Augustana,2218545,931319,Concerti sacri,45347,Musica Rediviva
1408304,Matteo Messori,2218545,931319,Concerti sacri,45347,Musica Rediviva
226854,Johann Kuhnau,2295079,2046020,Sopran Cantatas,1477,Classic Produktion Osnabrück
728262,Barbara Christina Steude,2295079,2046020,Sopran Cantatas,1477,Classic Produktion Osnabrück
1724052,Concerto con Voce,2295079,2046020,Sopran Cantatas,1477,Classic Produktion Osnabrück
399853,Jan Katzschke,2295079,2046020,Sopran Cantatas,1477,Classic Produktion Osnabrück
