id,name,credit,songid,song,labelid,label
31044,Jimmy Barnes,807679,212308,When Something Is Wrong With My Baby,1830,Mushroom Records
31046,Human Nature,820181,1243925,Everytime You Cry,25064,Gotham Records
9693,Little River Band,1215572,163092,The Farnham Years,44709,EMI Records Australia
1818,Tom Jones,1524511,1556827,Together in Concert,6847,Sony BMG Music Entertainment
11078,Olivia Newton‐John,2037472,405190,Highlights from The Main Event,467,RCA
11078,Olivia Newton‐John,2037472,405190,Highlights from The Main Event,467,RCA
11078,Olivia Newton‐John,2037472,405190,Highlights from The Main Event,467,RCA
99419,Anthony Warlow,2037472,405190,Highlights from The Main Event,467,RCA
99419,Anthony Warlow,2037472,405190,Highlights from The Main Event,467,RCA
99419,Anthony Warlow,2037472,405190,Highlights from The Main Event,467,RCA
11078,Olivia Newton‐John,1825315,1741566,Friends For Christmas,5662,Sony Music
11078,Olivia Newton‐John,1825315,1741566,Friends For Christmas,92659,Sony/ATV Music Publishing Australia Pty Ltd.
11078,Olivia Newton‐John,1861931,1560227,Highlights from Two Strong Hearts Live,5662,Sony Music
1824901,Sarah M. Taylor,2428355,2168415,Love (It's Just the Way It Goes),347,MCA Records
288231,Three Speed,2549055,2265848,Savage Streets - Music From The Original Motion Picture Soundtrack,347,MCA Records
52032,Real Life,2549055,2265848,Savage Streets - Music From The Original Motion Picture Soundtrack,347,MCA Records
1584765,Michael Bradley,2549055,2265848,Savage Streets - Music From The Original Motion Picture Soundtrack,347,MCA Records
