id,name,credit,songid,song,labelid,label
11285,Wolfgang Amadeus Mozart,2215942,1969758,"Teresa Ling, violin; Evelyn Grau, viola; Tobias Werner, cello; Peter Henderson, piano play works by Mozart and Brahms",153833,Garth Newel Music Center Foundation
12181,Johannes Brahms,2215942,1969758,"Teresa Ling, violin; Evelyn Grau, viola; Tobias Werner, cello; Peter Henderson, piano play works by Mozart and Brahms",153833,Garth Newel Music Center Foundation
