id,name,credit,songid,song,labelid,label
72546,Bob Brozman,805741,99222,Rolling Through This World,3267,[no label]
330467,Angus Diggs,805741,99222,Rolling Through This World,3267,[no label]
33873,Chris Whitley,873742,727292,Dislocation Blues,2985,ABC Music
33873,Chris Whitley,873742,727292,Dislocation Blues,3267,[no label]
137895,Mamadou Diabaté,1247132,1325750,Djan Djan,2985,ABC Music
137895,Mamadou Diabaté,1247132,1325750,Djan Djan,2985,ABC Music
263136,Bobby Singh,1247132,1325750,Djan Djan,2985,ABC Music
263136,Bobby Singh,1247132,1325750,Djan Djan,2985,ABC Music
1317558,Chris Finnen,1594249,1609822,Live at the Vineyard,113721,The Crossing Record Company
1087737,Hat Fitz,1597658,1609381,The Silverbacks,3267,[no label]
