id,name,credit,songid,song,labelid,label
792633,Emily Beynon,1465559,588091,"L'Album des Six: The Complete Works of ""The Six"" for Flute and Piano",388,Hyperion
792633,Emily Beynon,1465559,588091,"L'Album des Six: The Complete Works of ""The Six"" for Flute and Piano",22708,helios
4289,Sir Richard Rodney Bennett,2283369,2034741,Letters to Lindbergh,16197,Signum Classics
1346871,NYCoS National Girls Choir,2283369,2034741,Letters to Lindbergh,16197,Signum Classics
1342890,Christopher Bell,2283369,2034741,Letters to Lindbergh,16197,Signum Classics
1232614,Philip Moore,2283369,2034741,Letters to Lindbergh,16197,Signum Classics
12181,Johannes Brahms,3053573,2725553,Birdsong,40950,Somm Recordings
32513,Robert Schumann,3053573,2725553,Birdsong,40950,Somm Recordings
804020,Sally Beamish,3053573,2725553,Birdsong,40950,Somm Recordings
521437,Roderick Williams,3053573,2725553,Birdsong,40950,Somm Recordings
