id,name,credit,songid,song,labelid,label
3947,Bill Laswell,1156394,1262493,Technovoodu: Astral Black Simulations,-1,
31747,Quincy Jones,839508,268099,Backtracks,-1,
31747,Quincy Jones,839508,2484754,Walk On the Wild Side,132613,Startek Records
23960,Michael Brecker,809327,106263,Directions in Music: Live at Massey Hall,2033,Verve
23960,Michael Brecker,809327,106263,Directions in Music: Live at Massey Hall,2033,Verve
23960,Michael Brecker,809327,106263,Directions in Music: Live at Massey Hall,2033,Verve
23960,Michael Brecker,809327,106263,Directions in Music: Live at Massey Hall,2033,Verve
46211,Roy Hargrove,809327,106263,Directions in Music: Live at Massey Hall,2033,Verve
46211,Roy Hargrove,809327,106263,Directions in Music: Live at Massey Hall,2033,Verve
46211,Roy Hargrove,809327,106263,Directions in Music: Live at Massey Hall,2033,Verve
46211,Roy Hargrove,809327,106263,Directions in Music: Live at Massey Hall,2033,Verve
2230,Chick Corea,812303,216501,An Evening With Herbie Hancock & Chick Corea: In Concert,235,Columbia
2230,Chick Corea,812303,216501,An Evening With Herbie Hancock & Chick Corea: In Concert,72960,Sony Records International
2230,Chick Corea,812303,216501,An Evening With Herbie Hancock & Chick Corea: In Concert,5662,Sony Music
2230,Chick Corea,812303,216501,An Evening With Herbie Hancock & Chick Corea: In Concert,6719,CBS/Sony
2230,Chick Corea,812303,216501,An Evening With Herbie Hancock & Chick Corea: In Concert,235,Columbia
2230,Chick Corea,812303,216501,An Evening With Herbie Hancock & Chick Corea: In Concert,3284,Legacy
2230,Chick Corea,812303,216501,An Evening With Herbie Hancock & Chick Corea: In Concert,235,Columbia
2230,Chick Corea,812303,216501,An Evening With Herbie Hancock & Chick Corea: In Concert,3284,Legacy
3812,Foday Musa Suso,812638,406305,Village Life,3709,Sony Records
3812,Foday Musa Suso,812638,406305,Village Life,235,Columbia
3812,Foday Musa Suso,812638,867701,Jazz Africa,-1,
3812,Foday Musa Suso,812638,867701,Jazz Africa,2033,Verve
22848,Wayne Shorter,828030,82440,1+1,-1,
22848,Wayne Shorter,828030,82440,1+1,2033,Verve
22848,Wayne Shorter,828030,82440,1+1,2033,Verve
22848,Wayne Shorter,828030,82440,1+1,2033,Verve
125089,Jack DeJohnette,829844,255234,Parallel Realities Live...,15019,Jazz Door
125089,Jack DeJohnette,829844,255234,Parallel Realities Live...,47522,Arthaus Musik
9543,Pat Metheny,829844,255234,Parallel Realities Live...,15019,Jazz Door
9543,Pat Metheny,829844,255234,Parallel Realities Live...,47522,Arthaus Musik
21840,Dave Holland,829844,255234,Parallel Realities Live...,15019,Jazz Door
21840,Dave Holland,829844,255234,Parallel Realities Live...,47522,Arthaus Musik
22848,Wayne Shorter,830201,307029,A Tribute to Miles Davis,54343,Qwest Records
22848,Wayne Shorter,830201,307029,A Tribute to Miles Davis,68,Reprise Records
22848,Wayne Shorter,830201,307029,A Tribute to Miles Davis,54343,Qwest Records
