id,name,credit,songid,song,labelid,label
10289,Camille Saint‐Saëns,2001878,1092052,Le carnaval des animaux / Septet / Allegro Appassionato / Bagatelles,2720,Arabesque Recordings
458577,Ian Hobson,2001878,1092052,Le carnaval des animaux / Septet / Allegro Appassionato / Bagatelles,2720,Arabesque Recordings
324374,Ignaz Moscheles,2756823,2431919,"Piano Concerto no. 2 in E-flat major, op. 56 / Piano Concerto no. 4 in E major, op. 64",197938,Zephyr
458577,Ian Hobson,2756823,2431919,"Piano Concerto no. 2 in E-flat major, op. 56 / Piano Concerto no. 4 in E major, op. 64",197938,Zephyr
