id,name,credit,songid,song,labelid,label
21361,Béla Bartók,1156987,1260881,"Musique pour cordes, percussions et célesta / Concerto pour orchestre",50051,Praga Productions
336668,Заслуженный коллектив России Академический симфонический оркестр Санкт-Петербургской филармонии,1156987,1260881,"Musique pour cordes, percussions et célesta / Concerto pour orchestre",50051,Praga Productions
336670,Евгений Александрович Мравинский,1156987,1260881,"Musique pour cordes, percussions et célesta / Concerto pour orchestre",50051,Praga Productions
290356,Česká filharmonie,1156987,1260881,"Musique pour cordes, percussions et célesta / Concerto pour orchestre",50051,Praga Productions
33725,Сергей Васильевич Рахманинов,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
33725,Сергей Васильевич Рахманинов,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
33725,Сергей Васильевич Рахманинов,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
401750,Magyar Rádió Szimfonikus Zenekara,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
401750,Magyar Rádió Szimfonikus Zenekara,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
401750,Magyar Rádió Szimfonikus Zenekara,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
59646,Jenő Jandó,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
59646,Jenő Jandó,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
59646,Jenő Jandó,1026769,849671,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,198,Naxos
1021,Ludwig van Beethoven,1313612,1374604,Violin Concerto / Romances,45587,White Label
819808,Dénes Kovács,1313612,1374604,Violin Concerto / Romances,45587,White Label
313088,János Ferencsik,1313612,1374604,Violin Concerto / Romances,45587,White Label
401750,Magyar Rádió Szimfonikus Zenekara,1703801,194188,Rhapsodie Espagnole,635,LaserLight Digital
10729,Antonín Dvořák,1950479,1388759,Cello Concertos,102076,Laserlight Classics
47881,Paul Hindemith,1950479,1388759,Cello Concertos,102076,Laserlight Classics
247538,Miklós Perényi,1950479,1388759,Cello Concertos,102076,Laserlight Classics
42724,Budapest Festival Orchestra,1950479,1388759,Cello Concertos,102076,Laserlight Classics
313079,Iván Fischer,1950479,1388759,Cello Concertos,102076,Laserlight Classics
15747,Richard Wagner,2053963,20085,Overtures & Preludes,635,LaserLight Digital
85221,Wiener Symphoniker,2053963,20085,Overtures & Preludes,635,LaserLight Digital
354182,Юрий Михайлович Аранович,2053963,20085,Overtures & Preludes,635,LaserLight Digital
401750,Magyar Rádió Szimfonikus Zenekara,2053963,20085,Overtures & Preludes,635,LaserLight Digital
10341,Claude Debussy,2055485,1845864,Debussy: Ibéria / Petite suite / Chabrier: España / Ravel: Daphins et Chloé suite no. 1,5879,Hungaroton Records
52996,Emmanuel Chabrier,2055485,1845864,Debussy: Ibéria / Petite suite / Chabrier: España / Ravel: Daphins et Chloé suite no. 1,5879,Hungaroton Records
10211,Maurice Ravel,2055485,1845864,Debussy: Ibéria / Petite suite / Chabrier: España / Ravel: Daphins et Chloé suite no. 1,5879,Hungaroton Records
401750,Magyar Rádió Szimfonikus Zenekara,2055485,1845864,Debussy: Ibéria / Petite suite / Chabrier: España / Ravel: Daphins et Chloé suite no. 1,5879,Hungaroton Records
10293,Gustav Mahler,2082043,1865294,Lieder eines fahrenden Gesellen / Blumine / Kindertotenlieder,131614,Hungaroton
931155,Klára Takács,2082043,1865294,Lieder eines fahrenden Gesellen / Blumine / Kindertotenlieder,131614,Hungaroton
313079,Iván Fischer,2082043,1865294,Lieder eines fahrenden Gesellen / Blumine / Kindertotenlieder,131614,Hungaroton
10293,Gustav Mahler,2082051,1865299,Kindertotenlieder / Lieder eines fahrenden Gesellen,5879,Hungaroton Records
931155,Klára Takács,2082051,1865299,Kindertotenlieder / Lieder eines fahrenden Gesellen,5879,Hungaroton Records
466446,Sándor Sólyom-Nagy,2082051,1865299,Kindertotenlieder / Lieder eines fahrenden Gesellen,5879,Hungaroton Records
401750,Magyar Rádió Szimfonikus Zenekara,2082051,1865299,Kindertotenlieder / Lieder eines fahrenden Gesellen,5879,Hungaroton Records
45037,Franz Liszt,2172285,1935623,Hungarian Coronation Mass,131614,Hungaroton
931154,Kincses Veronika,2172285,1935623,Hungarian Coronation Mass,131614,Hungaroton
931155,Klára Takács,2172285,1935623,Hungarian Coronation Mass,131614,Hungaroton
466452,Dénes Gulyás,2172285,1935623,Hungarian Coronation Mass,131614,Hungaroton
391065,László Polgár,2172285,1935623,Hungarian Coronation Mass,131614,Hungaroton
1055215,Magyar Rádió és Televízió énekkara,2172285,1935623,Hungarian Coronation Mass,131614,Hungaroton
401750,Magyar Rádió Szimfonikus Zenekara,2172285,1935623,Hungarian Coronation Mass,131614,Hungaroton
