id,name,credit,songid,song,labelid,label
46315,Giovanni Battista Pergolesi,3061190,2722736,"Pergolesi: Dixit Dominus; Confitebor Tibi, Domine; Laudate Pueri Dominum",10516,Amadeus
1636145,Melodi Cantores,3061190,2722736,"Pergolesi: Dixit Dominus; Confitebor Tibi, Domine; Laudate Pueri Dominum",10516,Amadeus
