id,name,credit,songid,song,labelid,label
460817,Ozan Doğulu,2133178,1903547,Wet,-1,
939860,Baby Brown,2133178,1903547,Wet,-1,
1007808,Descemer Bueno,3019343,2398457,Nos fuimos lejos (Turkish version),42595,Sony Music | Latin
3113,Enrique Iglesias,3019343,2398457,Nos fuimos lejos (Turkish version),42595,Sony Music | Latin
974869,El Micha,3019343,2398457,Nos fuimos lejos (Turkish version),42595,Sony Music | Latin
