id,name,credit,songid,song,labelid,label
36817,Domenico Scarlatti,2179436,1942378,"Missa Di Madrid, Stabat Mater, Messa ""La Stella""",10371,Tactus
46315,Giovanni Battista Pergolesi,3061190,2722736,"Pergolesi: Dixit Dominus; Confitebor Tibi, Domine; Laudate Pueri Dominum",10516,Amadeus
2194103,Orchestra Barocca Harmonicus Concerntus,3061190,2722736,"Pergolesi: Dixit Dominus; Confitebor Tibi, Domine; Laudate Pueri Dominum",10516,Amadeus
