id,name,credit,songid,song,labelid,label
393500,Manuel de Falla,2513125,2239459,El sombrero de tres picos; El amor brujo,-1,
489821,Mahler Chamber Orchestra,2513125,2239459,El sombrero de tres picos; El amor brujo,-1,
1041470,Pablo Heras‐Casado,2513125,2239459,El sombrero de tres picos; El amor brujo,-1,
