id,name,credit,songid,song,labelid,label
493,Busta Rhymes,2125805,1894341,Surrender: The Mixtape,94759,Flipmode Entertainment
493,Busta Rhymes,2125805,1894341,Surrender: The Mixtape,2387,Aftermath Entertainment
493,Busta Rhymes,2125805,1894341,Surrender: The Mixtape,2336,Астра
177,Snoop Dogg,828990,838877,The Revival,10424,Plastichead
58267,Tego Calderón,861011,339137,Guasa guasa,-1,
160071,Lloyd Banks,866279,244936,Mo' Money in the Bank Pt. 2,-1,
160071,Lloyd Banks,866279,203148,Money in the Bank,-1,
160071,Lloyd Banks,866279,222351,S.W.A.T Mix Tape,-1,
160071,Lloyd Banks,866279,1258805,Halloween Havoc,-1,
250358,Travis Barker,866280,1046988,Let the Drummer Get Wicked,3267,[no label]
87197,DJ Spinbad,866281,702153,The Best of Murder Mixtape,148342,MasterTapes
87197,DJ Spinbad,866281,218455,Planet Neptune,-1,
889112,Will Castro,985684,222347,All Star-Superbowl Weekend 2004...The Mixtape,-1,
889115,Bach Logic,985686,433653,The Red Album,-1,
12608,DJ Clue?,2841504,2512722,The Ultimate DJ Clash Series 7,3267,[no label]
23772,Funkmaster Flex,2841504,2512722,The Ultimate DJ Clash Series 7,3267,[no label]
20544,50 Cent,1089000,1634280,"G-Unit Radio, Part 15: Are You a Window Shopper?",172711,Shade 45
20544,50 Cent,1089000,1634280,"G-Unit Radio, Part 15: Are You a Window Shopper?",138823,Sirius Satellite Radio
20544,50 Cent,1089000,1634280,"G-Unit Radio, Part 15: Are You a Window Shopper?",92926,MTV
20544,50 Cent,1089000,1634280,"G-Unit Radio, Part 15: Are You a Window Shopper?",202874,Shadyville
934787,Slim the Mobster,1096394,1221154,War Music,-1,
688686,Waka Flocka Flame,1446023,1500019,The Turn Up Godz Tour,101173,Brick Squad Monopoly
949612,Demrick,1528838,1561971,Homeland Security,2376,Shady Records
405358,Ca$his,1528838,1561971,Homeland Security,2376,Shady Records
844693,211,1537690,1568071,The Redprint,75094,CTE
219102,Poppa LQ,1539966,1569464,Rubberband Ready Radio,-1,
15237,D12,1558491,1583690,The Devil’s Night Mixtape,-1,
15237,D12,1558491,1583690,The Devil’s Night Mixtape,128616,DatPiff
149754,Young Buck,1568979,933264,Chronic 2006,63462,TH3RD Eye Muzic
20544,50 Cent,2695311,2375864,"G-Unit Radio, Part 2: International Ballers",2370,G Unit
1212365,Parlay Starr,1642261,1647912,DNA,117814,Most Hated Mob Ent.
353923,Dubb,1656458,1657841,Perfect Timing,-1,
324977,DJ Skee,1656458,1657841,Perfect Timing,-1,
344689,Bishop Lamont,1705350,1691914,The Confessional,2387,Aftermath Entertainment
344689,Bishop Lamont,1705350,1691914,The Confessional,2387,Aftermath Entertainment
152798,Wiley,1867126,1543921,"Creating a Buzz, Volume One",3267,[no label]
118198,Young Gunz,2208082,222198,30 Minute Shootout,-1,
492512,Cookin’ Soul,2323045,1269411,"Night of the Living Dead, Part III",-1,
36964,Big L,2323045,1269411,"Night of the Living Dead, Part III",-1,
132193,Big Pun,2323045,1269411,"Night of the Living Dead, Part III",-1,
492512,Cookin’ Soul,2323859,1551251,Ready for Xmas,3267,[no label]
492512,Cookin’ Soul,2323859,1551251,Ready for Xmas,-1,
12640,The Notorious B.I.G.,2323859,1551251,Ready for Xmas,3267,[no label]
12640,The Notorious B.I.G.,2323859,1551251,Ready for Xmas,-1,
492512,Cookin’ Soul,2327506,2076393,Cookin’ Soulja Boy,-1,
1007917,DJ Woogie,2327506,2076393,Cookin’ Soulja Boy,-1,
457542,Soulja Boy Tell ’Em,2327506,2076393,Cookin’ Soulja Boy,-1,
492512,Cookin’ Soul,2327521,944939,"Night of the Living Dead, Part. II: 2Pac Edition",-1,
163,2Pac,2327521,944939,"Night of the Living Dead, Part. II: 2Pac Edition",-1,
215256,Clinton Sparks,2331081,2079497,Hennessy & Haze,147938,Konkrete Kaos Entertainment
1753612,Konkrete Kaos,2331081,2079497,Hennessy & Haze,147938,Konkrete Kaos Entertainment
127483,Red Café,2331081,2079497,Hennessy & Haze,147938,Konkrete Kaos Entertainment
492512,Cookin’ Soul,2351222,2079449,Night of the Living Dead,109050,ThisIs50.com
12640,The Notorious B.I.G.,2351222,2079449,Night of the Living Dead,109050,ThisIs50.com
235419,Steve-O,2870660,339246,"G-Unit Radio, Part 8: The Fifth Element",3267,[no label]
203152,The Game,2870660,339246,"G-Unit Radio, Part 8: The Fifth Element",3267,[no label]
20544,50 Cent,2787923,2462505,G Unit Radio Part 21: Hate It Or Love It Verse 1,148544,Shadyville Entertainment
20544,50 Cent,2787929,2462496,"G-Unit Radio, Part 14: Back to Business",2336,Астра
20544,50 Cent,2787929,2462496,"G-Unit Radio, Part 14: Back to Business",202874,Shadyville
20544,50 Cent,2787929,2377875,"G‐Unit Radio, Pt 7: King of New York",148544,Shadyville Entertainment
20544,50 Cent,2787929,2377875,"G‐Unit Radio, Pt 7: King of New York",2370,G Unit
20544,50 Cent,2787929,2462513,"G-Unit Radio, Part 13: The Return of the Mixtape Millionaire",2370,G Unit
20544,50 Cent,2787929,2462513,"G-Unit Radio, Part 13: The Return of the Mixtape Millionaire",70210,BCD Music Group
20544,50 Cent,2787929,2462513,"G-Unit Radio, Part 13: The Return of the Mixtape Millionaire",70212,Starzmusic
197405,Saigon,2809159,381375,"The Yardfather, Volume 1: The Best of Saigon",202396,Abandoned Nation
163759,DJ Kay Slay,2809159,381375,"The Yardfather, Volume 1: The Best of Saigon",202396,Abandoned Nation
20544,50 Cent,2815960,317417,"G‐Unit, Pt. 5: Bulletproof",202874,Shadyville
20544,50 Cent,2815960,317417,"G‐Unit, Pt. 5: Bulletproof",2376,Shady Records
20544,50 Cent,2815960,317417,"G‐Unit, Pt. 5: Bulletproof",2387,Aftermath Entertainment
20544,50 Cent,2815960,317417,"G‐Unit, Pt. 5: Bulletproof",2370,G Unit
20544,50 Cent,2815960,317417,"G‐Unit, Pt. 5: Bulletproof",3480,Comedy Central Records
20544,50 Cent,2815960,317417,"G‐Unit, Pt. 5: Bulletproof",202874,Shadyville
830986,Machine Gun Kelly,2943693,1482228,EST 4 Life,-1,
830986,Machine Gun Kelly,2943693,1482228,EST 4 Life,130014,Be Music
858375,DJ E-V,2943693,1482228,EST 4 Life,-1,
858375,DJ E-V,2943693,1482228,EST 4 Life,130014,Be Music
876338,DJ Xplosive,2943693,1482228,EST 4 Life,-1,
876338,DJ Xplosive,2943693,1482228,EST 4 Life,130014,Be Music
20544,50 Cent,2943698,2189048,Man Down,165548,Firefly
62325,Royce da 5′9″,2957441,978581,The Bar Exam 3: The Most Interesting Man,67024,M.I.C. Records
62325,Royce da 5′9″,2957441,978581,The Bar Exam 3: The Most Interesting Man,-1,
62325,Royce da 5′9″,2957441,978581,The Bar Exam 3: The Most Interesting Man,-1,
20544,50 Cent,2960115,2189047,Thuggin',165548,Firefly
124506,G‐Unit,2960115,2189047,Thuggin',165548,Firefly
38611,Olivia,3018462,388284,"G-Unit Radio, Part 12: So Seductive",202874,Shadyville
38611,Olivia,3018462,388284,"G-Unit Radio, Part 12: So Seductive",2370,G Unit
38611,Olivia,3018462,388284,"G-Unit Radio, Part 12: So Seductive",70210,BCD Music Group
38611,Olivia,3018462,388284,"G-Unit Radio, Part 12: So Seductive",2370,G Unit
124506,G‐Unit,3078407,1217581,"The Return of the Body Snatchers, Vol. 1",43979,RBC Records
124506,G‐Unit,3078407,1217581,"The Return of the Body Snatchers, Vol. 1",203866,Da Unit
20544,50 Cent,3078407,1217581,"The Return of the Body Snatchers, Vol. 1",43979,RBC Records
20544,50 Cent,3078407,1217581,"The Return of the Body Snatchers, Vol. 1",203866,Da Unit
307190,Spider Loc,3078434,1917277,"G‐Unit Radio, Part 18: Rags 2 Riches",148544,Shadyville Entertainment
307190,Spider Loc,3078434,1917277,"G‐Unit Radio, Part 18: Rags 2 Riches",148440,Thug Wurld Entertainemt
307190,Spider Loc,3078434,1917277,"G‐Unit Radio, Part 18: Rags 2 Riches",224067,Black Sheep Music
20544,50 Cent,3078434,1917277,"G‐Unit Radio, Part 18: Rags 2 Riches",148544,Shadyville Entertainment
20544,50 Cent,3078434,1917277,"G‐Unit Radio, Part 18: Rags 2 Riches",148440,Thug Wurld Entertainemt
20544,50 Cent,3078434,1917277,"G‐Unit Radio, Part 18: Rags 2 Riches",224067,Black Sheep Music
