id,name,credit,songid,song,labelid,label
1673021,SubCantante,2407654,2149488,Envidia cochina,3267,[no label]
48183,Carlos Vives,2376631,2118501,Déjame quererte,42595,Sony Music | Latin
1543740,Cholo Valderrama,2376631,2118501,Déjame quererte,42595,Sony Music | Latin
1443897,Cynthia Montaño,2376631,2118501,Déjame quererte,42595,Sony Music | Latin
1652754,Elkin Robinson,2376631,2118501,Déjame quererte,42595,Sony Music | Latin
1656585,Kombilesa Mi,2376631,2118501,Déjame quererte,42595,Sony Music | Latin
