id,name,credit,songid,song,labelid,label
735902,Chicago Pro Musica,2427895,2167974,Instruments of Revelaton; Frescoes and Ash; Leopold Bloom's Homecoming; Binary,-1,
458841,Rufus Müller,2427895,2167974,Instruments of Revelaton; Frescoes and Ash; Leopold Bloom's Homecoming; Binary,-1,
771548,Jenny Lin,2427895,2167974,Instruments of Revelaton; Frescoes and Ash; Leopold Bloom's Homecoming; Binary,-1,
1360350,Olga Vinokur,2427895,2167974,Instruments of Revelaton; Frescoes and Ash; Leopold Bloom's Homecoming; Binary,-1,
