id,name,credit,songid,song,labelid,label
1007808,Descemer Bueno,2293009,2043711,Nos fuimos lejos (Arabic version),42595,Sony Music | Latin
3113,Enrique Iglesias,2293009,2043711,Nos fuimos lejos (Arabic version),42595,Sony Music | Latin
540904,RedOne,2293009,2043711,Nos fuimos lejos (Arabic version),42595,Sony Music | Latin
974869,El Micha,2293009,2043711,Nos fuimos lejos (Arabic version),42595,Sony Music | Latin
