id,name,credit,songid,song,labelid,label
683399,Miuosh,3060771,2732686,Miuosh | Smolik | NOSPR,53219,Fandango Records
521643,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach,3060771,2732686,Miuosh | Smolik | NOSPR,53219,Fandango Records
