id,name,credit,songid,song,labelid,label
1141324,橋田至,3014675,2698358,STEINS;GATE ドラマCD「悠久無限のハシダコンチェルト」,94058,5pb.Games
1141324,橋田至,3014675,2690735,STEINS;GATE ドラマCD「尊尚親愛のハシダファミリア」,94058,5pb.Games
181553,関智一,3014675,2698358,STEINS;GATE ドラマCD「悠久無限のハシダコンチェルト」,94058,5pb.Games
181553,関智一,3014675,2690735,STEINS;GATE ドラマCD「尊尚親愛のハシダファミリア」,94058,5pb.Games
146516,田村ゆかり,3014675,2698358,STEINS;GATE ドラマCD「悠久無限のハシダコンチェルト」,94058,5pb.Games
146516,田村ゆかり,3014675,2690735,STEINS;GATE ドラマCD「尊尚親愛のハシダファミリア」,94058,5pb.Games
1141329,阿万音鈴羽,3014675,2698358,STEINS;GATE ドラマCD「悠久無限のハシダコンチェルト」,94058,5pb.Games
1141329,阿万音鈴羽,3014675,2690735,STEINS;GATE ドラマCD「尊尚親愛のハシダファミリア」,94058,5pb.Games
146516,田村ゆかり,3014675,2698358,STEINS;GATE ドラマCD「悠久無限のハシダコンチェルト」,94058,5pb.Games
146516,田村ゆかり,3014675,2690735,STEINS;GATE ドラマCD「尊尚親愛のハシダファミリア」,94058,5pb.Games
