id,name,credit,songid,song,labelid,label
813933,Farruko,3105256,2773419,Ten cuidado,42595,Sony Music | Latin
1474962,IAmChino,3105256,2773419,Ten cuidado,42595,Sony Music | Latin
137803,Pitbull,3105256,2773419,Ten cuidado,42595,Sony Music | Latin
1282361,El Alfa,3105256,2773419,Ten cuidado,42595,Sony Music | Latin
