id,name,credit,songid,song,labelid,label
237209,小室哲哉,1396588,1484400,Place of life,357,Epic Records
62692,T.M.Revolution,1251638,1327156,Count ZERO | Runners high 〜戦国BASARA4 EP〜,357,Epic Records
62692,T.M.Revolution,1251638,1327156,Count ZERO | Runners high 〜戦国BASARA4 EP〜,357,Epic Records
62692,T.M.Revolution,1251638,1327156,Count ZERO | Runners high 〜戦国BASARA4 EP〜,357,Epic Records
62692,T.M.Revolution,1251638,1327156,Count ZERO | Runners high 〜戦国BASARA4 EP〜,357,Epic Records
62692,T.M.Revolution,1251638,1327156,Count ZERO | Runners high 〜戦国BASARA4 EP〜,357,Epic Records
