id,name,credit,songid,song,labelid,label
446715,Rosario Giuliani,1546645,1574856,Images,240,Dreyfus Jazz
484369,Joe Locke,1546645,1574856,Images,240,Dreyfus Jazz
5504,John Patitucci,1546645,1574856,Images,240,Dreyfus Jazz
373000,Joe LaBarbera,1546645,1574856,Images,240,Dreyfus Jazz
933835,David Liebman,2529633,2251692,Dream of Nite,1959,EmArcy
933835,David Liebman,2529633,2252088,Negative Space,1959,EmArcy
1563760,Paolo Benedettini,2529633,2251692,Dream of Nite,1959,EmArcy
1563760,Paolo Benedettini,2529633,2252088,Negative Space,1959,EmArcy
1071525,Tony Arco,2529633,2251692,Dream of Nite,1959,EmArcy
1071525,Tony Arco,2529633,2252088,Negative Space,1959,EmArcy
