id,name,credit,songid,song,labelid,label
290478,Evaristo Felice Dall'Abaco,1302402,1366198,"Dall'Abaco, Locatelli, Vanhal, Kozeluch, Cannabich and Eberl",33719,Warner Classics & Jazz
129455,Pietro Antonio Locatelli,1302402,1366198,"Dall'Abaco, Locatelli, Vanhal, Kozeluch, Cannabich and Eberl",33719,Warner Classics & Jazz
290862,Johann Baptist Vanhal,1302402,1366198,"Dall'Abaco, Locatelli, Vanhal, Kozeluch, Cannabich and Eberl",33719,Warner Classics & Jazz
440693,Christian Cannabich,1302402,1366198,"Dall'Abaco, Locatelli, Vanhal, Kozeluch, Cannabich and Eberl",33719,Warner Classics & Jazz
366730,Anton Eberl,1302402,1366198,"Dall'Abaco, Locatelli, Vanhal, Kozeluch, Cannabich and Eberl",33719,Warner Classics & Jazz
444300,Concerto Köln,1302402,1366198,"Dall'Abaco, Locatelli, Vanhal, Kozeluch, Cannabich and Eberl",33719,Warner Classics & Jazz
249348,Josef Mysliveček,1603298,1616367,Prague ~ 1770,108327,MDG Scene
811917,František Ignác Tůma,1603298,1616367,Prague ~ 1770,108327,MDG Scene
765398,Sukův komorní orchestr,1603298,1616367,Prague ~ 1770,108327,MDG Scene
765397,Josef Vlach,1603298,1616367,Prague ~ 1770,108327,MDG Scene
548036,Dieter Klöcker,2054411,1844849,Klarinettenkonzerte,1522,Orfeo
1432716,Komorní filharmonie Pardubice,1960379,1774997,Symphonies • 1,198,Naxos
1432716,Komorní filharmonie Pardubice,1960379,1774997,Symphonies • 1,198,Naxos
1432716,Komorní filharmonie Pardubice,1960379,2197482,Symphonies • 2,198,Naxos
1432716,Komorní filharmonie Pardubice,1960379,2197482,Symphonies • 2,198,Naxos
1480997,Marek Štilec,1960379,1774997,Symphonies • 1,198,Naxos
1480997,Marek Štilec,1960379,1774997,Symphonies • 1,198,Naxos
1480997,Marek Štilec,1960379,2197482,Symphonies • 2,198,Naxos
1480997,Marek Štilec,1960379,2197482,Symphonies • 2,198,Naxos
444300,Concerto Köln,1961021,699798,Symphonies,21851,elatus
444300,Concerto Köln,1961021,699798,Symphonies,376,TELDEC
491051,London Mozart Players,2090561,1871343,Symphonies,1842,Chandos
650760,Matthias Bamert,2090561,1871343,Symphonies,1842,Chandos
786380,Simone Kermes,2229092,1981604,Moisè in Egitto,1477,Classic Produktion Osnabrück
1672712,Linda Perillo,2229092,1981604,Moisè in Egitto,1477,Classic Produktion Osnabrück
471105,Markus Schäfer,2229092,1981604,Moisè in Egitto,1477,Classic Produktion Osnabrück
435065,Tom Sol,2229092,1981604,Moisè in Egitto,1477,Classic Produktion Osnabrück
638270,Rheinische Kantorei,2229092,1981604,Moisè in Egitto,1477,Classic Produktion Osnabrück
638269,Das Kleine Konzert,2229092,1981604,Moisè in Egitto,1477,Classic Produktion Osnabrück
851416,Hermann Max,2229092,1981604,Moisè in Egitto,1477,Classic Produktion Osnabrück
30551,Bernhard Crusell,2701677,2381155,Romantic Clarinet Concertos,9786,Regis
72933,Louis Spohr,2701677,2381155,Romantic Clarinet Concertos,9786,Regis
60953,Franz Krommer,2701677,2381155,Romantic Clarinet Concertos,9786,Regis
216832,Emma Johnson,2701677,2381155,Romantic Clarinet Concertos,9786,Regis
403333,Ignace Joseph Pleyel,2349054,2093206,A quattro mani: da Pleyel a Czerny,10516,Amadeus
1404199,Ernst Wilhelm Wolf,2349054,2093206,A quattro mani: da Pleyel a Czerny,10516,Amadeus
265287,Johann Christian Bach,2349054,2093206,A quattro mani: da Pleyel a Czerny,10516,Amadeus
271613,Ferdinand Ries,2349054,2093206,A quattro mani: da Pleyel a Czerny,10516,Amadeus
51383,Carl Czerny,2349054,2093206,A quattro mani: da Pleyel a Czerny,10516,Amadeus
1764563,Angela Lazzaroni,2349054,2093206,A quattro mani: da Pleyel a Czerny,10516,Amadeus
