id,name,credit,songid,song,labelid,label
373976,Paul Wirkus,3006790,2684762,Kürten | Pawłowski | Wirkus,22434,Gusstaff Records
2168922,Rafal Pawłowski,3006790,2684762,Kürten | Pawłowski | Wirkus,22434,Gusstaff Records
