id,name,credit,songid,song,labelid,label
339261,Carl Michael Bellman,2002052,1807088,Nio Bellmansånger,764,Decca Records
944594,Arne Dørumsgaard,2002052,1807088,Nio Bellmansånger,764,Decca Records
833207,Jacqueline Robin,2002052,1807088,Nio Bellmansånger,764,Decca Records
12438,Franz Schubert,1870861,1752937,Die Winterreise / Die schöne Müllerin,6125,Documents
333594,Hans Hotter,1870861,1752937,Die Winterreise / Die schöne Müllerin,6125,Documents
721704,Michael Raucheisen,1870861,1752937,Die Winterreise / Die schöne Müllerin,6125,Documents
271262,Gerald Moore,1870861,1752937,Die Winterreise / Die schöne Müllerin,6125,Documents
21922,Arvo Pärt,2450538,2187711,Editor’s Choice: June 1998,119273,Gramophone
9414,George Gershwin,2450538,2187711,Editor’s Choice: June 1998,119273,Gramophone
417907,Jane Eaglen,2450538,2187711,Editor’s Choice: June 1998,119273,Gramophone
201355,Renata Tebaldi,2450538,2187711,Editor’s Choice: June 1998,119273,Gramophone
