id,name,credit,songid,song,labelid,label
45435,Leoš Janáček,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
45435,Leoš Janáček,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
12299,London Symphony Orchestra,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
12299,London Symphony Orchestra,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
236231,Simon Rattle,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
236231,Simon Rattle,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
441555,Lucy Crowe,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
441555,Lucy Crowe,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
363908,Gerald Finley,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
363908,Gerald Finley,2829897,2502152,The Cunning Little Vixen; Sinfonietta,5371,LSO Live
